流水号		日期		书号		单价	数量	进价	利润 
XS2020070701	2020-07-07	04112233	18.0	3	15.0	9.0
XS2020070702	2020-07-07	23697183	128.0	20	101.6	528.0
XS2020070703	2020-07-07	21027025	147.0	1	109.4	37.6
XS2020070801	2020-07-08	23697183	128.0	2	101.6	52.8
XS20200708010	2020-07-08	9787547728857	89.0	1	41.0	48.0
XS20200708011	2020-07-08	9787109253759	25.0	6	13.6	68.4
XS20200708012	2020-07-08	9787030411389	79.0	2	46.2	65.6
XS20200708013	2020-07-08	9787101080759	26.0	2	15.7	20.6
XS20200708014	2020-07-08	9787506384476	78.0	3	41.5	109.5
XS20200708015	2020-07-08	27855079	43.2	5	30.1	65.5
XS20200708016	2020-07-08	9787108053138	69.5	2	47.2	44.6
XS20200708017	2020-07-08	27855079	43.2	3	30.1	39.3
XS20200708018	2020-07-08	27855079	43.2	3	30.1	39.3
XS2020070802	2020-07-08	9787040396621	31.2	20	21.8	188.0
XS20200708023	2020-07-08	27855079	43.2	2	30.1	26.2
XS20200708024	2020-07-08	9787301112427	30.9	3	21.7	27.6
XS20200708025	2020-07-08	9787301095577	37.1	2	25.1	24.0
XS20200708026	2020-07-08	23697183	128.0	3	101.6	79.2
XS20200708027	2020-07-08	9787020085385	63.2	4	46.5	66.8
XS20200708028	2020-07-08	9787508695488	43.5	2	32.0	23.0
XS2020070803	2020-07-08	26476114	39.0	1	30.7	8.3
XS2020070804	2020-07-08	9787108040367	22.4	2	17.3	10.2
XS2020070805	2020-07-08	9787101080759	20.5	3	15.7	14.4
XS2020070806	2020-07-08	9787101080759	26.0	2	15.7	20.6
XS2020070807	2020-07-08	9787100023719	24.0	2	13.0	22.0
XS2020070808	2020-07-08	9787547711101	598.0	1	285.2	312.8
XS2020070809	2020-07-08	9787550238770	28.0	1	13.9	14.1
XS2020070901	2020-07-09	9787201132389	36.7	2	24.7	24.0
XS2020070902	2020-07-09	9787510872846	33.1	4	25.6	30.0
XS2020070903	2020-07-09	9787510872822	33.1	2	24.9	16.4
XS2020070904	2020-07-09	27864234	147.0	3	80.5	199.5
XS2020070905	2020-07-09	28970750	59.0	1	31.5	27.5
XS2020070906	2020-07-09	28970750	46.6	1	31.5	15.1
XS2020071201	2020-07-12	9787541151460	45.0	1000	24.8	20200.0
XS2020071202	2020-07-12	9787541151460	45.0	1000	24.8	20200.0
XS2020071203	2020-07-12	9787541151460	45.0	1000	24.8	20200.0
XS2020071204	2020-07-12	9787541151460	45.0	1000	24.8	20200.0
XS2020071205	2020-07-12	9787541151460	45.0	1000	24.8	20200.0
XS2020071206	2020-07-12	9787020116133	33.9	3	26.8	21.3
XS2020071207	2020-07-12	9787506391542	33.7	2	24.5	18.4
XS2020071208	2020-07-12	9787548425625	27.4	3	21.2	18.6

该时段的总营业额：103336.2
