流水号		日期		书号		单价	数量	进价	利润 
XS2016050801	2016-05-08	9787516743331	19.8	2	14.9	9.8
XS2016050802	2016-05-08	9787121285868	45.6	3	31.4	42.6
XS2016070701	2016-07-07	25272304	59.3	4	44.5	59.2
XS2016120801	2016-12-08	9787020116133	43.0	1	26.8	16.2
XS2016120802	2016-12-08	04112233	25.0	1	15.0	10.0
XS2016120803	2016-12-08	9787107335211	69.8	2	34.6	70.4
XS2017070801	2017-07-08	25242438	119.5	3	87.4	96.3
XS2017070802	2017-07-08	9787518421497	35.8	1	28.6	7.2
XS2017080801	2017-08-08	9780007241910	55.0	1	41.4	13.6
XS2017080802	2017-08-08	9787111407010	128.0	1	70.8	57.2
XS2018060801	2018-06-08	9787508651903	45.3	2	34.1	22.4
XS2018060802	2018-06-08	27864234	110.2	1	80.5	29.7
XS2018070701	2018-07-07	25173902	42.0	6	23.8	109.2
XS2018070702	2018-07-07	25272304	59.3	12	44.5	177.6
XS2018090801	2018-09-08	04112211	36.5	1	25.0	11.5
XS2018090802	2018-09-08	25173902	42.0	2	23.8	36.4
XS2018100801	2018-10-08	9787111581703	28.6	1	20.9	7.7
XS2018100802	2018-10-08	9787111595144	42.1	3	28.9	39.6
XS2019020801	2019-02-08	9787100171816	298.0	1	135.2	162.8
XS2019020802	2019-02-08	9787301256909	72.0	7	50.8	148.4
XS2019060801	2019-06-08	9787040396638	40.9	1	28.0	12.9
XS2019060802	2019-06-08	9787212082260	17.1	1	13.0	4.1
XS2019070701	2019-07-07	25160666	41.4	3	28.6	38.4

该时段的总营业额：1183.2
